data_referencia,media_selic,media_dolar,diferenca_selic_dolar,relacao_selic_dolar
2015-01-01,0.04433033333333333,2.6342285714285714,-2.589898238095238,0.01682858268798311
2015-02-01,0.045513,2.81645,-2.770937,0.016159704592660973
2015-03-01,0.04703818181818182,3.1394772727272726,-3.0924390909090906,0.014982806923561394
2015-04-01,0.04737575,3.0432200000000003,-2.99584425,0.015567638882499457
2015-05-01,0.049037,3.061715,-3.012678,0.016016187006302023
2015-06-01,0.050537857142857134,3.1117380952380955,-3.0612002380952386,0.016241038158126293
2015-07-01,0.050939565217391305,3.2231434782608694,-3.1722039130434783,0.015804312020536258
2015-08-01,0.052531,3.5143047619047616,-3.4617737619047615,0.014947764510761461
2015-09-01,0.052531,3.906457142857143,-3.853926142857143,0.013447222912979243
2015-10-01,0.052531,3.8801380952380953,-3.827607095238095,0.013538435671778986
2015-11-01,0.05253100000000001,3.77646,-3.723929,0.013910116881947645
2015-12-01,0.052531,3.871136363636363,-3.818605363636363,0.013569917219515061
2016-01-01,0.05253100000000001,4.05235,-3.9998189999999996,0.012963095487803377
2016-02-01,0.052531,3.9737421052631574,-3.9212111052631573,0.013219529251891696
2016-03-01,0.052531,3.7039181818181817,-3.6513871818181816,0.014182548701497924
2016-04-01,0.05253100000000001,3.5658450000000004,-3.5133140000000003,0.014731711557849542
2016-05-01,0.052531,3.5392904761904758,-3.4867594761904757,0.014842240373709556
2016-06-01,0.052531,3.4244772727272728,-3.3719462727272727,0.01533985943441932
2016-07-01,0.052531,3.2755666666666667,-3.2230356666666666,0.01603722511117669
2016-08-01,0.052531,3.209660869565217,-3.157129869565217,0.01636652660039934
2016-09-01,0.052531,3.2563714285714283,-3.203840428571428,0.01613175927631983
2016-10-01,0.0521826,3.185845,-3.1336624,0.016379516266485032
2016-11-01,0.05166,3.34203,-3.29037,0.015457670936526603
2016-12-01,0.05078799999999999,3.352268181818182,-3.301480181818182,0.01515033918690059
2017-01-01,0.049115,3.196609090909091,-3.147494090909091,0.015364718864023524
2017-02-01,0.047865,3.1041944444444445,-3.0563294444444447,0.015419459333697236
2017-03-01,0.045513000000000005,3.127930434782609,-3.082417434782609,0.014550515412329863
2017-04-01,0.04353744444444444,3.136172222222222,-3.0926347777777776,0.013882351273934432
2017-05-01,0.041957,3.209509090909091,-3.167552090909091,0.013072715736759515
2017-06-01,0.03837,3.2953666666666663,-3.2569966666666663,0.011643620841383357
2017-07-01,0.03785271428571429,3.2061380952380953,-3.168285380952381,0.011806326852213537
2017-08-01,0.034749,3.1509173913043482,-3.116168391304348,0.011028216765027713
2017-09-01,0.0318266,3.1347899999999997,-3.1029633999999997,0.01015270560388415
2017-10-01,0.030569714285714283,3.1912285714285713,-3.160658857142857,0.009579293241295335
2017-11-01,0.028333000000000004,3.25938,-3.2310470000000002,0.008692757518301028
2017-12-01,0.026851400000000004,3.2919150000000004,-3.2650636000000004,0.00815677197011466
2018-01-01,0.026481,3.2106090909090907,-3.1841280909090908,0.008247967675349056
2018-02-01,0.025810055555555555,3.2415000000000003,-3.2156899444444447,0.007962380242343222
2018-03-01,0.025285714285714283,3.2792142857142856,-3.2539285714285713,0.0077109063582304115
2018-04-01,0.024620000000000003,3.407495238095238,-3.382875238095238,0.0072252485417301365
2018-05-01,0.024620000000000003,3.636057142857143,-3.611437142857143,0.006771070704530811
2018-06-01,0.024620000000000003,3.773171428571428,-3.748551428571428,0.006525014955210094
2018-07-01,0.02462,3.8287636363636364,-3.8041436363636363,0.00643027419247609
2018-08-01,0.02462,3.9297565217391304,-3.9051365217391303,0.0062650191847265675
2018-09-01,0.02462,4.1165473684210525,-4.091927368421053,0.005980740119466492
2018-10-01,0.02462,3.758409090909091,-3.7337890909090907,0.006550644010400919
2018-11-01,0.02462,3.786665,-3.762045,0.00650176342507193
2018-12-01,0.02462,3.885055,-3.860435,0.006337104622714479
2019-01-01,0.02462,3.7416818181818186,-3.7170618181818185,0.006579928811788573
2019-02-01,0.02462,3.7236249999999997,-3.6990049999999997,0.00661183658397395
2019-03-01,0.02462,3.846484210526316,-3.821864210526316,0.00640065021783392
2019-04-01,0.024620000000000003,3.8961571428571427,-3.8715371428571426,0.006319046973024703
2019-05-01,0.02462,4.001518181818182,-3.9768981818181817,0.006152664784047873
2019-06-01,0.02462,3.8588263157894738,-3.8342063157894737,0.006380178319832727
2019-07-01,0.02462,3.7793391304347828,-3.7547191304347827,0.006514366440877632
2019-08-01,0.022751,4.019981818181818,-3.997230818181818,0.0056594783332353385
2019-09-01,0.022035190476190476,4.1215,-4.09946480952381,0.005346400697850412
2019-10-01,0.02078995652173913,4.086986956521739,-4.066197,0.0050868663743993394
2019-11-01,0.018985,4.155345,-4.13636,0.004568814382439966
2019-12-01,0.017811285714285714,4.109590476190476,-4.09177919047619,0.0043340780103219645
2020-01-01,0.017089,4.149463636363636,-4.132374636363636,0.0041183636001148015
2020-02-01,0.016295666666666667,4.341011111111111,-4.324715444444445,0.0037538873431944937
2020-03-01,0.015355636363636361,4.883854545454546,-4.86849890909091,0.003144163328518457
2020-04-01,0.014227,5.32558,-5.311353,0.0026714461147893747
2020-05-01,0.0117773,5.643445,-5.6316676999999995,0.0020868990483649615
2020-06-01,0.010100857142857142,5.1966,-5.1864991428571425,0.0019437434366426397
2020-07-01,0.008442,5.280191304347826,-5.271749304347827,0.0015988057086205702
2020-08-01,0.007607999999999999,5.461233333333333,-5.453625333333333,0.001393091914524802
2020-09-01,0.007468999999999999,5.399485714285714,-5.392016714285714,0.001383279889089966
2020-10-01,0.007468999999999999,5.625790476190476,-5.618321476190475,0.001327635650778388
2020-11-01,0.007469000000000001,5.417835,-5.410366,0.001378594955365012
2020-12-01,0.007469,5.1455863636363635,-5.138117363636363,0.001451535252188769
2021-01-01,0.007469000000000001,5.3562449999999995,-5.348775999999999,0.001394447042657683
2021-02-01,0.007469,5.416494444444444,-5.409025444444444,0.0013789361507904356
2021-03-01,0.008734217391304347,5.646147826086957,-5.637413608695653,0.0015469338848957425
2021-04-01,0.010379,5.562135,-5.551755999999999,0.0018660100842572142
2021-05-01,0.012856142857142856,5.291057142857143,-5.278201,0.0024297871880855563
2021-06-01,0.014634714285714284,5.031904761904762,-5.017270047619048,0.002908384593545944
2021-07-01,0.016137,5.156704545454546,-5.140567545454546,0.00312932413671522
2021-08-01,0.019412772727272726,5.251718181818182,-5.23230540909091,0.0036964612447181783
2021-09-01,0.021003428571428572,5.279690476190477,-5.258687047619048,0.003978155285077137
2021-10-01,0.0242439,5.53998,-5.5157361,0.004376171033108423
2021-11-01,0.029255999999999997,5.5568599999999995,-5.527603999999999,0.005264843814672315
2021-12-01,0.03331604347826087,5.651391304347826,-5.618075260869565,0.005895193180594237
2022-01-01,0.034749,5.534104761904762,-5.499355761904762,0.00627906436452061
2022-02-01,0.03959757894736843,5.196578947368421,-5.156981368421052,0.00761993214159113
2022-03-01,0.041953500000000005,4.968381818181818,-4.926428318181818,0.00844409740138549
2022-04-01,0.043739,4.758015789473684,-4.714276789473684,0.009192697530925652
2022-05-01,0.04679627272727272,4.95505,-4.908253727272728,0.00944415752157349
2022-06-01,0.048116142857142864,5.049209523809524,-5.001093380952381,0.009529440723394705
2022-07-01,0.049037,5.368071428571429,-5.319034428571428,0.009134938059691561
2022-08-01,0.050559608695652174,5.143286956521739,-5.092727347826087,0.009830213465251455
2022-09-01,0.050788,5.236957142857143,-5.1861691428571435,0.009697998019569706
2022-10-01,0.050788,5.2503,-5.199512,0.009673351998933395
2022-11-01,0.050788,5.274649999999999,-5.223862,0.009628695742845498
2022-12-01,0.05078799999999999,5.242431818181818,-5.191643818181818,0.009687870393250876
2023-01-01,0.05078799999999999,5.200681818181819,-5.149893818181819,0.009765642616789754
2023-02-01,0.050788,5.171688888888889,-5.120900888888889,0.009820389642755858
2023-03-01,0.050788,5.211460869565218,-5.160672869565218,0.009745443987999692
2023-04-01,0.050788,5.019733333333333,-4.968945333333333,0.01011766893327667
2023-05-01,0.05078799999999999,4.9828363636363635,-4.932048363636364,0.010192588376098315
2023-06-01,0.050788,4.851566666666667,-4.800778666666667,0.010468371041656648
2023-07-01,0.050788,4.800833333333333,-4.7500453333333335,0.010578996701961465
2023-08-01,0.04918926086956521,4.903543478260869,-4.854354217391304,0.010031370393193918
2023-09-01,0.0484217,4.93699,-4.8885683,0.009807939655539104
2023-10-01,0.047279,5.064842857142857,-5.017563857142857,0.009334741735041844
2023-11-01,0.0456013,4.89834,-4.8527387,0.009309541599807281
2023-12-01,0.0445373,4.897245,-4.8527077,0.009094358154431726
2024-01-01,0.043739,4.9143954545454545,-4.870656454545454,0.008900179158261398
2024-02-01,0.041957,4.964389473684211,-4.922432473684211,0.008451593135955658
2024-03-01,0.0414203,4.980135,-4.938714699999999,0.008317103853610395
2024-04-01,0.040168,5.129095454545455,-5.088927454545455,0.007831400362105315
2024-05-01,0.039483809523809525,5.133047619047619,-5.093563809523809,0.007692079336512237
2024-06-01,0.03927,5.388975,-5.349705,0.007287100051494022
2024-07-01,0.03927,5.542047826086956,-5.502777826086956,0.0070858284216084
2024-08-01,0.03927,5.5526136363636365,-5.513343636363636,0.007072345128215623
2024-09-01,0.03961209523809524,5.541566666666666,-5.501954571428571,0.007148176250656296
2024-10-01,0.040168,5.624108695652174,-5.583940695652173,0.007142109474351492
2024-11-01,0.04158036842105264,5.807057894736842,-5.76547752631579,0.007160315804452115
2024-12-01,0.044158333333333334,6.097028571428571,-6.052870238095237,0.007242599049029348
